group,name,vers,desc,url,build
webapp,0d1n,207.ccaf57d,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.","https://github.com/CoolerVoid/0d1n",1512327061
scanner,0trace,1.5,"A hop enumeration tool.","http://jon.oberheide.org/0trace/",1483189140
proxy,3proxy,0.8.11,"Tiny free proxy server.","http://3proxy.ru/",1509730748
windows,3proxy-win32,0.8.10,"Tiny free proxy server.","http://3proxy.ru/",1498740458
dos,42zip,42,"Recursive Zip archive bomb.","http://blog.fefe.de/?ts=b6cea88d",1483189203
scanner,a2sv,122.701dcee,"Auto Scanning to SSL Vulnerability.","https://github.com/hahwul/a2sv",1518393678
disassembler,abcd,4.2738809,"ActionScript ByteCode Disassembler.","https://github.com/MITRECND/abcd",1483189210
cracker,acccheck,0.2.1,"A password dictionary attack tool that targets windows authentication via the SMB protocol.","http://labs.portcullis.co.uk/tools/acccheck/",1483189220
voip,ace,1.10,"Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface","http://ucsniff.sourceforge.net/ace.html",1388156119
recon,ad-ldap-enum,39.41ac756,"An LDAP based Active Directory user and group enumeration tool.","https://github.com/CroweCybersecurity/ad-ldap-enum",1514111706
webapp,adfind,29.179602f,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.","https://github.com/sahakkhotsanyan/adfind",1512640819
spoof,admid-pack,0.1,"ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.","http://packetstormsecurity.com/files/10080/ADMid-pkg.tgz.html",1391262539
webapp,adminpagefinder,0.1,"This python script looks for a large amount of possible administrative interfaces on a given site.","http://packetstormsecurity.com/files/112855/Admin-Page-Finder-Script.html",1483189235
scanner,admsnmp,0.1,"ADM SNMP audit scanner.",,1388156105
forensic,aesfix,1.0.1,"A tool to find AES key in RAM","http://citp.princeton.edu/memory/code/",1388156116
forensic,aeskeyfind,1.0,"A tool to find AES key in RAM","http://citp.princeton.edu/memory/code/",1388156111
crypto,aespipe,2.4d,"Reads data from stdin and outputs encrypted or decrypted results to stdout.","http://loop-aes.sourceforge.net/aespipe/",1446849730
backdoor,aesshell,0.7,"A backconnect shell for Windows and Unix written in python and uses AES in CBC mode in conjunction with HMAC-SHA256 for secure transport.","https://packetstormsecurity.com/files/132438/AESshell.7.html",1435678001
forensic,afflib,3.7.16,"An extensible open format for the storage of disk images and related forensic information.","https://github.com/sshock/AFFLIBv3",1521324706
fuzzer,afl,2.52b,"Security-oriented fuzzer using compile-time instrumentation and genetic algorithms","http://lcamtuf.coredump.cx/afl/",1509921351
networking,afpfs-ng,0.8.1,"A client for the Apple Filing Protocol (AFP)","http://alexthepuffin.googlepages.com/",1514053048
windows,agafi,13.8007d3d,"A gadget finder and a ROP-Chainer tool for x86 platforms.","https://github.com/CoreSecurity/Agafi",1487284598
cracker,against,0.2,"A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.","http://nullsecurity.net/tools/cracker.html",1483189252
exploitation,aggroargs,51.c032446,"Bruteforce commandline buffer overflows, linux, aggressive arguments.","https://github.com/tintinweb/aggroArgs",1493890228
networking,aiengine,754.9448ac44,"A packet inspection engine with capabilities of learning without any human intervention.","https://bitbucket.org/camp0/aiengine/",1524302170
forensic,aimage,3.2.5,"A program to create aff-images.","http://www.afflib.org",1391262768
forensic,air,2.0.0,"A GUI front-end to dd/dc3dd designed for easily creating forensic images.","http://air-imager.sourceforge.net/",1483189270
wireless,aircrack-ng,1.2rc4,"Key cracker for the 802.11 WEP and WPA-PSK protocols","https://www.aircrack-ng.org",1490642002
wireless,airflood,0.1,"A modification of aireplay that allows for a DoS of the AP. This program fills the table of clients of the AP with random MACs doing impossible new connections.","http://packetstormsecurity.com/files/51127/airflood.1.tar.gz.html",1471893171
wireless,airgeddon,1154.ae4a1e3,"Multi-use bash script for Linux systems to audit wireless networks.","https://github.com/v1s1t0r1sh3r3/airgeddon",1522701684
misc,airgraph-ng,3029,"Graphing tool for the aircrack suite.","http://www.aircrack-ng.org",1520010389
wireless,airoscript,45.0a122ee,"A script to simplify the use of aircrack-ng tools.","http://midnightresearch.com/projects/wicrawl/",1483189294
wireless,airpwn,1.4,"A tool for generic packet injection on an 802.11 network.","http://airpwn.sourceforge.net",1422572805
fuzzer,ajpfuzzer,0.6,"A command-line fuzzer for the Apache JServ Protocol (ajp13).","https://github.com/doyensec/ajpfuzzer",1494964267
webapp,albatar,24.142f892,"A SQLi exploitation framework in Python.","https://github.com/lanjelot/albatar",1483189302
scanner,allthevhosts,1.0,"A vhost discovery tool that scrapes various web applications.","http://labs.portcullis.co.uk/tools/finding-all-the-vhosts/",1483189309
recon,altdns,58.319404d,"Generates permutations, alterations and mutations of subdomains and then resolves them.","https://github.com/infosec-au/altdns",1499167289
windows,analyzepesig,0.0.0.5,"Analyze digital signature of PE file.","https://blog.didierstevens.com/my-software/#AnalyzePESig",1488915350
mobile,androbugs,1.7fd3a2c,"An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.","https://github.com/AndroBugs/AndroBugs_Framework",1491745695
binary,androguard,1489.b1ccfe11,"Reverse engineering, Malware and goodware analysis of Android applications and more.","https://github.com/androguard/androguard",1524389974
